Index,question,answer
518,i'm really glad that you came to see me.,i had to. i was missing you a lot.
519,i had to. i was missing you a lot.,i was missing you too.
520,i was missing you too.,"so, why haven't you visited me?"
521,"so, why haven't you visited me?",i've actually been busy lately.
522,i've actually been busy lately.,what have you been doing?
523,what have you been doing?,i've just been working really hard.
524,i've just been working really hard.,i've also been busy.
525,i've also been busy.,tell me what you've been doing.
526,tell me what you've been doing.,"basically, i've been working too."
527,"basically, i've been working too.","well whatever, i'm glad you came."
528,"well whatever, i'm glad you came.",so am i.
529,i'm really happy that you came to visit me.,i really missed you a lot.
530,i really missed you a lot.,i've been missing you like crazy.
531,i've been missing you like crazy.,i don't understand why you haven't come to visit me.
532,i don't understand why you haven't come to visit me.,"lately, i've been quite busy."
533,"lately, i've been quite busy.",tell me what you've been up to.
534,tell me what you've been up to.,i've really been working a lot lately.
535,i've really been working a lot lately.,i've been pretty busy myself.
536,i've been pretty busy myself.,so what have you been up to?
537,so what have you been up to?,i've just been working a lot.
538,i've just been working a lot.,"whatever the reason may be, i'm glad you visited me."
539,"hey, did you hear about jessica's party this weekend?","yeah, but i'm still waiting for my invitation."
540,"yeah, but i'm still waiting for my invitation.",oh really? she gave me mine earlier today.
541,oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today."
542,"well, she'll probably just give me my invitation later on today.","yeah, so are you planning on going?"
543,"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
544,i think so. it sounds like it's going to be a lot of fun.,"it really does, i can't wait."
545,"it really does, i can't wait.",what time does the party start?
546,what time does the party start?,it starts at 8 o'clock.
547,it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
548,"oh, well, how many people has she given invites to so far?","i'm not sure, but i don't think she's given out that many."
549,"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today."
550,have you heard about jessica's party on saturday?,"i've heard about it, but i'm still waiting for my invitation."
551,"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.
552,really? i got mine from her this morning.,i'm guessing that she's going to give me my invite today or tomorrow.
553,i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
554,"you're probably right, do you intend on going to the party?",i want to. i heard it's going to be really fun.
555,i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
556,"i know, it does sound pretty awesome.","well, when does the party start?"
557,"well, when does the party start?",it's supposed to start at about eight.
558,it's supposed to start at about eight.,how many invitations has she given out?
559,how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
560,"i really don't know, but i don't think she gave out that many yet.","i really want to go, so i hope that she gives me my invite soon."
561,has anyone told you about jessica's party coming up?,i was told about it already. i'm just waiting for my invitation.
562,i was told about it already. i'm just waiting for my invitation.,is that right? i already got my invitation from her earlier.
563,is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
564,i believe that she will give me the invitation today.,are you even going to go?
565,are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
566,"yeah, it sounds like it's going to be the best party of the year.","exactly, it seems like it's going to be loads of fun."
567,"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
568,when exactly does the party start?,the invitation says it starts at 8:00 p.m.
569,the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
570,has she given out a lot of invitations yet?,"i have no idea, she hasn't given out many though."
571,"hey, what's up?",nothing really.
572,nothing really.,i'm throwing a party on friday.
573,i'm throwing a party on friday.,i didn't realize that.
574,i didn't realize that.,you didn't?
575,you didn't?,nobody has told me anything about your party.
576,nobody has told me anything about your party.,did you want to go?
577,did you want to go?,when does it start?
578,when does it start?,at 8:00 p.m.
579,at 8:00 p.m.,i'll be there.
580,i'll be there.,i'd better see you there.
